date,JPY_lev_net,JPY_lev_pct_oi,JPY_lev_percentile,JPY_lev_long,JPY_lev_short,JPY_assetmgr_net,JPY_assetmgr_pct_oi,JPY_assetmgr_percentile,JPY_assetmgr_long,JPY_assetmgr_short,JPY_net_pos,JPY_net_pct_oi,JPY_percentile,EUR_lev_net,EUR_lev_pct_oi,EUR_lev_percentile,EUR_lev_long,EUR_lev_short,EUR_assetmgr_net,EUR_assetmgr_pct_oi,EUR_assetmgr_percentile,EUR_assetmgr_long,EUR_assetmgr_short,EUR_net_pos,EUR_net_pct_oi,EUR_percentile
2023-09-12,-35444,-13.086016820870283,61.60714285714286,35535,70979,-46017,-16.989595870838166,2.6785714285714284,66782,112799,-35444,-13.086016820870283,61.60714285714286,13429,1.8055579831639013,44.642857142857146,72898,59469,342747,46.083072608197014,31.25,450698,107951,13429,1.8055579831639013,44.642857142857146
2023-09-19,-31399,-11.81035131272098,66.07142857142857,49757,81156,-50307,-18.922365154592644,1.7857142857142856,70008,120315,-31399,-11.81035131272098,66.07142857142857,4862,0.6992232610380776,21.428571428571427,65602,60740,334864,48.158103267020735,29.464285714285715,449293,114429,4862,0.6992232610380776,21.428571428571427
2023-09-26,-35032,-12.250064691195703,63.39285714285714,55409,90441,-53003,-18.5342024100093,0.8928571428571428,72874,125877,-35032,-12.250064691195703,63.39285714285714,11875,1.6981971224317896,37.5,76453,64578,318134,45.49509417664968,21.428571428571427,441783,123649,11875,1.6981971224317896,37.5
2023-10-03,-41870,-14.811696535329451,45.535714285714285,61438,103308,-39187,-13.862573492475644,9.821428571428571,73374,112561,-41870,-14.811696535329451,45.535714285714285,13203,1.8796098702652069,41.07142857142857,82368,69165,306736,43.66765228854567,16.071428571428573,439608,132872,13203,1.8796098702652069,41.07142857142857
2023-10-10,-40650,-15.638404690367281,50.0,47367,88017,-26437,-10.170541323474534,16.964285714285715,71664,98101,-40650,-15.638404690367281,50.0,-962,-0.13995129345836813,16.964285714285715,68001,68963,318633,46.35457431239107,22.321428571428573,444415,125782,-962,-0.13995129345836813,16.964285714285715
2023-10-17,-40333,-15.076573427880428,51.78571428571429,45803,86136,-40576,-15.167407418483034,8.035714285714286,69103,109679,-40333,-15.076573427880428,51.78571428571429,4299,0.6179600848670933,20.535714285714285,75357,71058,317388,45.62296241353734,20.535714285714285,447860,130472,4299,0.6179600848670933,20.535714285714285
2023-10-24,-46924,-17.984814628855272,36.607142857142854,38333,85257,-35560,-13.629273041558552,12.5,69055,104615,-46924,-17.984814628855272,36.607142857142854,9025,1.2843903522004703,33.035714285714285,81600,72575,325952,46.387767765146556,26.785714285714285,448774,122822,9025,1.2843903522004703,33.035714285714285
2023-10-31,-40958,-14.771776450561184,49.107142857142854,51443,92401,-38588,-13.917020110216683,10.714285714285714,66878,105466,-40958,-14.771776450561184,49.107142857142854,5473,0.787525073313361,25.0,77740,72267,321410,46.248571864360926,25.0,443345,121935,5473,0.787525073313361,25.0
2023-11-07,-47267,-18.200756263043996,35.714285714285715,34887,82154,-24081,-9.272693667259663,19.642857142857142,70113,94194,-47267,-18.200756263043996,35.714285714285715,5370,0.7697556276733598,24.107142857142858,77240,71870,324423,46.50399068839375,25.892857142857146,443192,118769,5370,0.7697556276733598,24.107142857142858
2023-11-14,-64429,-23.53459013818522,8.928571428571429,28422,92851,-41824,-15.277448011601274,6.25,71014,112838,-64429,-23.53459013818522,8.928571428571429,7125,1.0142882970348617,28.57142857142857,77152,70027,327998,46.69256601415306,27.67857142857143,441077,113079,7125,1.0142882970348617,28.57142857142857
2023-11-21,-62905,-23.746427937773447,11.607142857142858,38753,101658,-21983,-8.298509265655731,20.535714285714285,69250,91233,-62905,-23.746427937773447,11.607142857142858,8063,1.131865170053512,31.25,73652,65589,353982,49.69116912140423,38.392857142857146,453409,99427,8063,1.131865170053512,31.25
2023-11-28,-65310,-25.044002438827984,7.142857142857142,35448,100758,-24146,-9.25911013455735,18.75,66352,90498,-65310,-25.044002438827984,7.142857142857142,10184,1.4005594536387866,34.82142857142857,73233,63049,372157,51.1810687929939,52.67857142857143,465952,93795,10184,1.4005594536387866,34.82142857142857
2023-12-05,-64464,-24.100313292109377,8.035714285714286,39913,104377,-19565,-7.314510882975303,23.214285714285715,64639,84204,-64464,-24.100313292109377,8.035714285714286,12108,1.6002854820483339,39.285714285714285,76280,64172,385663,50.972158891906716,61.60714285714286,478523,92860,12108,1.6002854820483339,39.285714285714285
2023-12-12,-61447,-23.85540858991929,13.392857142857142,29395,90842,-4110,-1.5956145833737736,31.25,62909,67019,-61447,-23.85540858991929,13.392857142857142,16641,2.100741148445558,55.35714285714286,83174,66533,362824,45.80249422772736,44.642857142857146,462262,99438,16641,2.100741148445558,55.35714285714286
2023-12-19,-57908,-31.1433795848123,16.071428571428573,28932,86840,12323,6.627406690330213,38.392857142857146,63273,50950,-57908,-31.1433795848123,16.071428571428573,-7465,-1.066056974426057,9.821428571428571,67756,75221,363318,51.88448597917298,45.535714285714285,459191,95873,-7465,-1.066056974426057,9.821428571428571
2023-12-26,-58188,-30.862416463349952,15.178571428571427,32553,90741,16398,8.697358650684205,43.75,63596,47198,-58188,-30.862416463349952,15.178571428571427,-4233,-0.5998920109349557,15.178571428571427,71580,75813,365700,51.826248145266554,48.214285714285715,460850,95150,-4233,-0.5998920109349557,15.178571428571427
2025-01-07,-53162,-25.022592913356178,24.107142857142858,24057,77219,-9579,-4.508698271642128,28.57142857142857,53082,62661,-53162,-25.022592913356178,24.107142857142858,-41588,-6.894710927125419,0.8928571428571428,69495,111083,151263,25.077297753433015,0.8928571428571428,333660,182397,-41588,-6.894710927125419,0.8928571428571428
2025-01-14,-52381,-23.389387011502468,25.892857142857146,25130,77511,-20109,-8.979156247767378,22.321428571428573,52052,72161,-52381,-23.389387011502468,25.892857142857146,-39799,-6.586784724233523,1.7857142857142856,68363,108162,157876,26.128677231163888,1.7857142857142856,332942,175066,-39799,-6.586784724233523,1.7857142857142856
2025-01-21,-39636,-18.729798695775447,55.35714285714286,27591,67227,-13207,-6.24090350628485,26.785714285714285,50196,63403,-39636,-18.729798695775447,55.35714285714286,-35234,-5.780879814665328,2.6785714285714284,72504,107738,160878,26.395424386210152,3.571428571428571,340273,179395,-35234,-5.780879814665328,2.6785714285714284
2025-01-28,-34175,-15.764248943668468,64.28571428571429,24923,59098,-1813,-0.8363009022639629,32.142857142857146,58289,60102,-34175,-15.764248943668468,64.28571428571429,-34296,-5.541372869634905,3.571428571428571,72532,106828,174396,28.178016765011925,6.25,347583,173187,-34296,-5.541372869634905,3.571428571428571
2025-02-04,-29088,-12.542742690083697,68.75,33050,62138,13695,5.9052826299744305,41.07142857142857,62742,49047,-29088,-12.542742690083697,68.75,-22177,-3.596524943117594,4.464285714285714,82094,104271,163750,26.55593450130793,4.464285714285714,339196,175446,-22177,-3.596524943117594,4.464285714285714
2025-02-11,-31019,-11.349217383668602,66.96428571428571,35523,66542,37314,13.652429074251593,57.14285714285714,86253,48939,-31019,-11.349217383668602,66.96428571428571,-20827,-3.3436992773807823,5.357142857142857,88642,109469,160245,25.726753286785588,2.6785714285714284,338182,177937,-20827,-3.3436992773807823,5.357142857142857
2025-02-18,-23850,-8.482623958344448,71.42857142857143,43974,67824,38924,13.843926832477957,58.03571428571429,87890,48966,-23850,-8.482623958344448,71.42857142857143,-11227,-1.7596516745451583,7.142857142857142,89424,100651,172533,27.041772723283135,5.357142857142857,346446,173913,-11227,-1.7596516745451583,7.142857142857142
2025-02-25,-11720,-3.5602972179861845,76.78571428571429,47598,59318,71762,21.799833528764893,74.10714285714286,109396,37634,-11720,-3.5602972179861845,76.78571428571429,-5296,-0.8040274243795205,14.285714285714285,93762,99058,191177,29.02408438644327,7.142857142857142,356354,165177,-5296,-0.8040274243795205,14.285714285714285
2025-03-04,2550,0.719495506680022,86.60714285714286,47578,45028,83769,23.63585062708971,84.82142857142857,115992,32223,2550,0.719495506680022,86.60714285714286,-8222,-1.2023649532990455,8.928571428571429,94173,102395,211724,30.96199432890867,8.035714285714286,366028,154304,-8222,-1.2023649532990455,8.928571428571429
2025-03-11,417,0.0934604574855775,85.71428571428571,46055,45638,84539,18.947370780271548,85.71428571428571,111825,27286,417,0.0934604574855775,85.71428571428571,-5919,-0.8110885770664328,11.607142857142858,90093,96012,239231,32.782147555360666,8.928571428571429,375109,135878,-5919,-0.8110885770664328,11.607142857142858
2025-03-18,-5833,-1.966840545306794,81.25,40348,46181,80197,27.041781452420533,83.03571428571429,100447,20250,-5833,-1.966840545306794,81.25,13859,2.1235941282829214,45.535714285714285,87050,73191,258488,39.60773497594312,10.714285714285714,380024,121536,13859,2.1235941282829214,45.535714285714285
2025-03-25,309,0.10171901849376848,84.82142857142857,41782,41473,79867,26.291238996899054,82.14285714285714,99454,19587,309,0.10171901849376848,84.82142857142857,26376,3.919895968790637,78.57142857142857,89643,63267,263523,39.1637376927364,11.607142857142858,389514,125991,26376,3.919895968790637,78.57142857142857
2025-04-01,11263,3.619657927381878,88.39285714285714,48928,37665,76649,24.633149292008664,78.57142857142857,99685,23036,11263,3.619657927381878,88.39285714285714,32890,4.902903431137983,86.60714285714286,91315,58425,256218,38.1943481702436,9.821428571428571,384138,127920,32890,4.902903431137983,86.60714285714286
2025-04-08,19233,5.996109216293903,91.96428571428571,52436,33203,102930,32.08961272984618,91.96428571428571,115727,12797,19233,5.996109216293903,91.96428571428571,33078,4.74048978468735,87.5,85855,52777,283157,40.579928229116504,12.5,412595,129438,33078,4.74048978468735,87.5
2025-04-15,18100,5.34161234060009,91.07142857142857,51122,33022,114908,33.91127021180526,97.32142857142857,130058,15150,18100,5.34161234060009,91.07142857142857,21806,3.079412869533781,67.85714285714286,80754,58948,289770,40.920914757626505,13.392857142857142,419169,129399,21806,3.079412869533781,67.85714285714286
2025-04-22,19443,5.535751909027236,92.85714285714286,50802,31359,119983,34.1611953556969,98.21428571428571,135299,15316,19443,5.535751909027236,92.85714285714286,14710,2.045237141840185,48.214285714285715,81269,66559,296277,41.193523091297386,14.285714285714285,419532,123255,14710,2.045237141840185,48.214285714285715
2025-04-29,19611,5.354597729394997,93.75,50238,30627,127275,34.7512327779689,100.0,137808,10533,19611,5.354597729394997,93.75,17315,2.3712291772800227,56.25,79893,62578,301676,41.313481564258055,15.178571428571427,421978,120302,17315,2.3712291772800227,56.25
2025-05-06,24650,6.563776474786046,97.32142857142857,54358,29708,125675,33.46460886282905,99.10714285714286,134156,8481,24650,6.563776474786046,97.32142857142857,5745,0.7794977836211845,25.892857142857146,73085,67340,306930,41.64512701946912,16.964285714285715,427317,120387,5745,0.7794977836211845,25.892857142857146
2025-05-13,35043,9.74713577231928,99.10714285714286,55015,19972,109341,30.41296614105991,92.85714285714286,124096,14755,35043,9.74713577231928,99.10714285714286,20153,2.6838246065419638,62.5,86340,66187,311077,41.42688965063537,18.75,432043,120966,20153,2.6838246065419638,62.5
2025-05-20,38497,10.493505785506931,100.0,55915,17418,110922,30.235100104943236,95.53571428571429,124230,13308,38497,10.493505785506931,100.0,6933,0.9131391677829013,27.67857142857143,83874,76941,310336,40.8740742496862,17.857142857142858,435558,125222,6933,0.9131391677829013,27.67857142857143
2025-05-27,24075,6.38575532278899,96.42857142857143,49246,25171,114162,30.28081408765261,96.42857142857143,127979,13817,24075,6.38575532278899,96.42857142857143,-904,-0.11887369801083802,17.857142857142858,76556,77460,313983,41.287964958558575,19.642857142857142,441156,127173,-904,-0.11887369801083802,17.857142857142858
2025-06-03,26150,7.144652575899981,98.21428571428571,49497,23347,109556,29.93267906712422,93.75,130723,21167,26150,7.144652575899981,98.21428571428571,-1911,-0.24459735512310504,16.071428571428573,74113,76024,320071,40.96730510288192,23.214285714285715,444511,124440,-1911,-0.24459735512310504,16.071428571428573
2025-06-10,20619,5.3105755634711524,95.53571428571429,44731,24112,109952,28.31894875380863,94.64285714285714,131187,21235,20619,5.3105755634711524,95.53571428571429,11976,1.477575424081173,38.392857142857146,84861,72885,320344,39.523415301591456,24.107142857142858,441522,121178,11976,1.477575424081173,38.392857142857146
2025-06-17,17783,5.600539173540184,90.17857142857143,45713,27930,93095,29.319135936609314,90.17857142857143,119461,26366,17783,5.600539173540184,90.17857142857143,15429,2.0412483247581235,52.67857142857143,88119,72690,333078,44.06603859704364,28.57142857142857,456662,123584,15429,2.0412483247581235,52.67857142857143
2025-06-24,19758,6.277023957403413,94.64285714285714,48739,28981,91761,29.152039445049834,89.28571428571429,116393,24632,19758,6.277023957403413,94.64285714285714,21093,2.7659069481397363,64.28571428571429,88638,67545,337731,44.28637555123412,30.357142857142854,458163,120432,21093,2.7659069481397363,64.28571428571429
2025-07-01,16646,5.2970396275588625,89.28571428571429,43066,26420,94055,29.929896802237703,91.07142857142857,119394,25339,16646,5.2970396275588625,89.28571428571429,15221,1.953837523795587,50.89285714285714,91623,76402,345337,44.329044672163235,32.142857142857146,461525,116188,15221,1.953837523795587,50.89285714285714
2025-07-08,10382,3.3639966172101055,87.5,42605,32223,87754,28.434228390161397,88.39285714285714,112913,25159,10382,3.3639966172101055,87.5,29123,3.6139614591851803,82.14285714285714,105233,76110,349523,43.37336988286859,33.92857142857143,464484,114961,29123,3.6139614591851803,82.14285714285714
2025-07-15,-3359,-1.0452777345573363,83.92857142857143,42392,45751,68378,21.278356931694415,66.96428571428571,100056,31678,-3359,-1.0452777345573363,83.92857142857143,38524,4.695529228219004,92.85714285714286,106430,67906,360716,43.96616449709912,41.964285714285715,477607,116891,38524,4.695529228219004,92.85714285714286
2025-07-22,-6061,-1.9361742908254536,80.35714285714286,36995,43056,70358,22.475721952466138,72.32142857142857,100874,30516,-6061,-1.9361742908254536,80.35714285714286,28409,3.368202151409632,80.35714285714286,102310,73901,374328,44.38073761599721,54.46428571428571,497068,122740,28409,3.368202151409632,80.35714285714286
2025-07-29,-20878,-6.343679261048569,73.21428571428571,37000,57878,71551,21.74042507937955,73.21428571428571,103482,31931,-20878,-6.343679261048569,73.21428571428571,30862,3.724699092540585,83.92857142857143,110100,79238,357385,43.132382385704645,41.07142857142857,481538,124153,30862,3.724699092540585,83.92857142857143
2025-08-05,-21650,-6.417134490097161,72.32142857142857,38441,60091,58130,17.229932005050717,62.5,99799,41669,-21650,-6.417134490097161,72.32142857142857,34208,4.180067451977125,90.17857142857143,106098,71890,347425,42.453810059142675,33.035714285714285,481035,133610,34208,4.180067451977125,90.17857142857143
2025-08-12,-35406,-10.0824973018228,62.5,38075,73481,59697,16.999797814690044,64.28571428571429,101264,41567,-35406,-10.0824973018228,62.5,34938,4.235052826035308,91.07142857142857,100864,65926,367438,44.53945103591395,49.107142857142854,499181,131743,34938,4.235052826035308,91.07142857142857
2025-08-19,-43354,-12.422990297493854,43.75,33996,77350,69567,19.934265950679407,67.85714285714286,106374,36807,-43354,-12.422990297493854,43.75,33226,4.026325133085884,88.39285714285714,104037,70811,371230,44.98563411651937,50.89285714285714,501183,129953,33226,4.026325133085884,88.39285714285714
2025-08-26,-41388,-11.581403938819026,47.32142857142857,37627,79015,75185,21.038655048325804,75.89285714285714,108632,33447,-41388,-11.581403938819026,47.32142857142857,34207,4.061551979007735,89.28571428571429,109029,74822,376814,44.74083221030259,56.25,506393,129579,34207,4.061551979007735,89.28571428571429
2025-09-02,-56443,-13.625379904357041,18.75,37470,93913,75981,18.341866848199995,76.78571428571429,109219,33238,-56443,-13.625379904357041,18.75,29673,3.5081932326026815,83.03571428571429,107011,77338,379800,44.90317088742285,57.14285714285714,506627,126827,29673,3.5081932326026815,83.03571428571429
2025-09-09,-41662,-10.141699468596563,46.42857142857143,41473,83135,85853,20.899028478647708,87.5,118215,32362,-41662,-10.141699468596563,46.42857142857143,32612,3.713910880715724,85.71428571428571,103962,71350,383251,43.64528575202937,59.82142857142857,506920,123669,32612,3.713910880715724,85.71428571428571
